"","idclient","idticket","Date","Montant","Points"
"167",1743466,210100000000,2010-01-03 15:57:42,137.26,20
"168",1743466,210100000000,2010-01-20 11:11:45,12.74,2
"169",1743466,210200000000,2010-02-06 17:00:28,20.8,3
"170",1743466,210400000000,2010-05-08 17:39:04,127.65,18
"171",1743468,260100000000,2010-01-02 18:43:37,353.3,50
"172",1743468,260300000000,2010-03-19 16:04:16,7.95,1
"173",1743468,260300000000,2010-03-31 15:45:56,28.78,4
"174",1743468,260100000000,2011-03-03 14:35:55,6.3,0
"175",1743481,80300094550,2010-01-02 16:51:44,161.35,23
"176",1743481,80100184759,2010-03-10 17:47:11,39.9,6
"177",1743481,80600022380,2010-05-26 18:05:13,39.9,5
"178",1743481,80300115803,2010-06-05 13:13:24,40.23,5
"179",1743481,80100225766,2010-08-10 15:25:24,39.9,5
"180",1743481,80100243264,2010-10-16 15:54:03,82.84,11
"181",1743481,80300127265,2010-10-26 18:18:36,39.9,5
"182",1743481,80100250690,2010-11-12 18:29:09,37.3,5
"183",1743481,80300132846,2010-12-08 18:24:27,90.16,12
"184",1743481,80100265873,2011-01-12 17:37:51,39.9,5
"185",1743481,80500051898,2011-03-26 15:04:14,58.36,9
"186",1743481,80400099393,2011-05-17 18:08:56,14.95,2
"187",1743481,80600030771,2011-05-29 18:25:46,19.89,3
"188",1743481,80200211167,2011-06-23 17:20:53,39.9,6
"189",1743481,80200220917,2011-08-31 17:53:40,39.9,6
"190",1743481,80300168538,2011-11-12 11:48:40,39.9,6
"191",1743481,80500062290,2011-11-19 18:27:19,15.08,2
"192",1743481,80200238180,2011-12-07 17:35:14,9.9,1
"193",1743481,80200238204,2011-12-07 18:13:05,9.9,1
"194",1743481,80100361392,2012-01-16 18:41:02,0,0
"195",1743481,80400112013,2012-03-27 17:45:38,39.9,6
"196",1743481,80400123366,2012-06-09 18:04:31,43.4,7
"197",1743481,80200279166,2012-08-02 10:47:46,40.4,6
"198",1743481,80100415095,2012-08-02 11:23:23,3.1,0
"199",1743481,80100436826,2012-10-17 17:31:46,36.8,6
"200",1743481,80300205427,2012-11-11 18:48:42,25,4
"201",1743481,80200301785,2012-12-20 18:07:32,36.8,6
"202",1743481,80100454440,2012-12-21 18:39:31,63.4,10
"203",1743481,80300213201,2013-02-10 17:02:48,39.75,6
"204",1743481,80100481585,2013-04-05 18:53:07,37.9,6
"205",1743481,80100496214,2013-05-31 13:51:29,37.9,6
"206",1743481,80100504872,2013-06-29 11:24:44,20.9,3
"207",1743481,80100512748,2013-07-27 10:16:57,80.97,13
"208",1743481,80100528172,2013-09-28 11:19:54,66.85,13
"209",1743482,120100000000,2010-01-03 14:37:43,43.77,6
"210",1743482,120100000000,2010-12-23 18:59:20,34.41,4
"211",1743495,391500000000,2010-01-03 16:51:02,114.78,16
"212",1743495,391500000000,2010-01-03 16:55:58,114.78,16
"213",1743495,391500000000,2010-01-03 17:05:38,-4.46,0
"214",1743495,391500000000,2010-01-03 17:14:16,-114.78,0
"215",1743495,391500000000,2010-01-19 10:40:03,12,2
"216",1743495,391500000000,2010-01-19 10:41:43,-0.3,0
"217",1743495,391500000000,2010-02-04 09:59:49,12.93,2
"218",1743495,390100000000,2010-02-19 16:28:38,19.89,3
"219",1743495,390200000000,2010-03-21 10:28:12,6.8,1
"220",1743495,390400000000,2010-03-26 16:21:16,46.29,7
"221",1743495,390300000000,2010-04-20 11:44:52,34.8,4
"222",1743495,390200000000,2010-05-30 14:12:38,14.85,2
"223",1743495,390100000000,2010-08-12 18:02:06,31,4
"224",1743495,390100000000,2010-08-26 15:06:41,4.95,0
"225",1743495,390100000000,2011-02-21 17:23:15,34.6,5
"226",1743495,390200000000,2011-03-04 11:32:09,29.96,4
"227",1743495,390400000000,2011-04-23 11:22:48,17.1,2
"228",1743495,390100000000,2011-04-28 13:01:36,56.09,9
"229",1743495,390100000000,2011-07-02 12:14:29,42.7,7
"230",1743495,390100000000,2011-07-29 10:15:33,7.2,1
"231",1743495,390100000000,2011-08-22 18:58:09,9.7,1
"232",1743495,390200000000,2011-09-21 09:39:38,14.4,2
"233",1743495,390100000000,2011-10-01 10:38:07,23.45,3
"234",1743495,390200000000,2011-12-22 14:25:33,3.1,0
"235",1743495,390100000000,2012-02-20 15:37:18,43.9,7
"236",1743495,390100000000,2012-05-17 10:39:35,38.95,6
"237",1743495,390200000000,2012-06-08 09:06:45,5.9,0
"238",1743495,390100000000,2012-07-18 10:08:59,40.75,6
"239",1743495,390100000000,2012-08-09 14:07:21,23.1,3
"240",1743495,390300000000,2012-09-08 14:31:27,15.39,2
"241",1743495,390100000000,2012-10-05 16:36:17,25.28,4
"242",1743495,390200000000,2012-10-11 14:04:21,9.95,1
"243",1743495,390100000000,2012-10-14 14:10:30,0,0
"244",1743495,390200000000,2012-11-16 11:25:55,71.3,11
"245",1743495,390200000000,2012-12-21 12:04:00,17.75,2
"246",1743495,390100000000,2012-12-30 14:41:34,6.94,1
"247",1743495,390100000000,2013-01-26 10:44:07,18.35,3
"248",1743495,390100000000,2013-02-22 16:34:43,32.22,5
"249",1743495,390300000000,2013-04-25 15:04:04,50.6,8
"250",1743495,390200000000,2013-10-04 16:45:05,9.95,1
"251",1743495,390200000000,2013-10-25 16:17:43,32,5
"252",1743495,390300000000,2013-11-02 10:28:11,52.77,8
"253",1743511,770300000000,2010-01-03 17:02:46,19.83,3
"254",1743511,770100000000,2010-01-06 16:06:11,9.9,1
"255",1743511,770100000000,2010-01-08 17:29:52,9.9,1
"256",1743511,770200000000,2010-04-07 17:51:21,11.9,1
"257",1743511,770200000000,2010-04-30 11:19:38,13.9,1
"258",1743517,340300000000,2010-01-02 18:42:23,221.15,32
"259",1743517,340100000000,2010-07-17 10:42:37,112.75,16
"260",1743517,340300000000,2012-04-21 12:00:30,239.33,42
"261",1743520,370300000000,2010-01-02 17:36:10,57.65,8
"262",1743520,370400000000,2010-03-28 18:51:04,36.86,5
"263",1743520,370500000000,2010-06-11 12:13:36,60.1,8
"264",1743520,370400000000,2010-06-23 11:03:30,18.14,2
"265",1743520,370100000000,2010-07-26 10:15:32,-22.4,0
"266",1743520,370200000000,2010-09-03 11:34:32,53.9,7
"267",1743520,370600000000,2010-09-24 17:19:59,19.4,2
"268",1743520,370200000000,2010-09-25 12:35:33,32.7,4
"269",1743520,370200000000,2010-12-10 15:45:44,53.15,7
"270",1743520,370100000000,2010-12-17 15:36:43,12.9,1
"271",1743520,370200000000,2011-02-25 17:36:17,39.54,6
"272",1743520,370400000000,2011-04-17 18:55:02,59.53,9
"273",1743520,370700000000,2011-05-13 18:55:14,27.55,4
"274",1743520,370700000000,2011-05-21 18:54:09,11.35,1
"275",1743520,370600000000,2011-06-12 17:11:10,68.2,11
"276",1743520,370500000000,2011-06-13 18:06:57,23.45,3
"277",1743520,370400000000,2011-08-06 12:00:17,77.25,13
"278",1743520,370100000000,2011-10-07 14:26:51,-14.9,0
"279",1743520,370400000000,2011-10-07 15:24:38,21.5,3
"280",1743520,370600000000,2011-12-18 11:13:32,56.1,9
"281",1743520,370300000000,2011-12-30 12:36:03,53.35,11
"282",1743520,370600000000,2012-01-28 18:01:52,27.02,4
"283",1743520,370500000000,2012-02-06 16:15:18,8.9,1
"284",1743520,370400000000,2012-02-25 16:29:47,56,9
"285",1743520,370400000000,2012-02-28 10:30:37,15.45,2
"286",1743520,370300000000,2012-03-19 17:57:12,29.35,4
"287",1743520,370300000000,2012-04-10 18:18:24,15.75,2
"288",1743520,370100000000,2012-04-18 17:43:44,75.55,12
"289",1743520,370600000000,2012-05-20 15:29:40,17.03,2
"290",1743520,370200000000,2012-08-04 10:22:48,42.33,7
"291",1743520,370300000000,2012-10-07 18:05:09,66.97,11
"292",1743520,370600000000,2012-12-20 11:37:32,3.99,0
"293",1743520,370200000000,2013-03-22 12:08:28,84.04,14
"294",1743520,370200000000,2013-05-19 12:09:37,38.33,6
"295",1743520,370200000000,2013-08-17 10:33:26,3.4,0
"296",1743520,370200000000,2013-10-28 11:40:20,36.07,8
"297",1743520,370200000000,2013-11-20 11:34:59,8.5,2
"298",1743552,110400000000,2010-01-03 18:10:06,37.39,5
"299",1743552,110300000000,2010-04-24 12:57:34,14.39,2
"300",1743552,110100000000,2010-05-16 17:58:02,39.95,5
"301",1743552,110400000000,2010-06-05 18:32:35,2.9,0
"302",1743552,110300000000,2012-01-28 12:37:27,15.99,2
"303",1743552,110200000000,2012-02-17 12:14:58,8.49,1
"304",1743552,110300000000,2012-04-10 17:48:16,45.9,13
"305",1743552,110300000000,2012-06-02 11:06:15,39,6
"306",1743552,110200000000,2012-06-24 12:43:03,19.44,3
"307",1743552,110200000000,2013-02-23 10:54:35,4.9,0
"308",1743557,310200000000,2010-01-03 15:52:03,52.72,8
"309",1743557,530400000000,2010-03-07 16:13:40,49.34,7
"310",1743557,530400000000,2010-03-07 16:16:20,13.34,2
"311",1743557,530300000000,2010-05-06 11:37:43,18.12,2
"312",1743557,531500000000,2010-05-15 16:10:54,0,0
"313",1743557,530200000000,2010-05-15 16:23:23,28.75,4
"314",1743557,530200000000,2010-05-15 16:28:31,10.95,1
"315",1743557,530400000000,2010-09-10 17:58:19,7.2,1
"316",1743557,530700000000,2010-09-26 15:33:32,8.94,1
"317",1743557,530700000000,2010-09-26 15:35:28,0,0
"318",1743557,530400000000,2011-01-16 10:50:54,29.95,4
"319",1743568,350100000000,2010-01-03 16:47:16,81.12,12
"320",1743640,490100000000,2010-01-04 11:40:38,61.35,9
"321",1743640,490100000000,2010-11-17 16:39:23,17.9,2
"322",1743668,150900000000,2010-01-04 14:20:49,89.38,13
"323",1743668,150900000000,2010-01-07 17:25:20,31.8,5
"324",1743668,60300059070,2010-02-20 17:13:53,43.15,6
"325",1743668,151500000000,2010-03-17 11:18:32,165.44,24
"326",1743668,151500000000,2010-04-28 10:53:40,40.65,5
"327",1743668,150200000000,2010-06-10 10:36:17,116.94,16
"328",1743668,151500000000,2010-09-30 12:31:28,45.9,6
"329",1743668,150200000000,2010-11-10 11:49:44,51.21,7
"330",1743668,150200000000,2010-12-14 11:21:51,111.35,15
"331",1743668,150200000000,2011-02-25 09:52:19,42.96,7
"332",1743668,150300000000,2011-04-05 10:34:24,45.7,7
"333",1743668,150200000000,2011-04-09 10:41:24,121.3,20
"334",1743668,150600000000,2011-05-07 12:56:54,66.93,11
"335",1743668,150300000000,2011-06-15 11:29:41,30.35,5
"336",1743668,150400000000,2011-09-10 10:51:24,111,18
"337",1743668,150600000000,2011-11-05 13:02:10,23.6,3
"338",1743668,150600000000,2012-01-07 12:12:57,54.25,9
"339",1743668,150400000000,2012-03-31 18:50:03,57.35,0
"340",1743668,150200000000,2012-12-10 17:37:23,88.41,14
"341",1743668,150400000000,2013-05-26 11:30:54,185.9,36
"342",1743668,150100000000,2013-08-12 17:40:56,30.3,5
"343",1743668,150200000000,2013-08-18 12:14:38,41.73,6
"344",1743668,150100000000,2013-10-15 18:47:49,136.89,22
"345",1743668,150100000000,2013-10-19 14:16:58,-26.51,0
"346",1743756,90100136495,2010-01-05 10:02:46,54.21,8
"347",1743756,90100141637,2010-02-09 10:23:11,87.85,13
"348",1743756,90100144612,2010-02-26 10:26:26,98.88,14
"349",1743756,90100151692,2010-03-31 10:11:53,8.2,1
"350",1743756,650200000000,2010-04-23 09:57:33,85.12,12
"351",1743756,650400000000,2010-04-23 10:35:13,166.8,23
"352",1743756,650300000000,2010-05-03 10:36:38,106.49,15
"353",1743756,90100195937,2010-11-05 10:51:11,192.14,27
"354",1743756,90100211364,2011-02-01 10:44:26,85.71,14
"355",1743756,90100212074,2011-02-05 09:28:37,62.65,10
"356",1743820,440300000000,2010-01-05 14:48:05,82.38,12
"357",1743820,530100000000,2010-05-08 17:34:06,32.36,4
"358",1743820,440300000000,2010-06-16 17:51:55,38.4,5
"359",1743820,440400000000,2010-06-24 16:33:41,135.7,19
"360",1743820,440100000000,2010-11-09 11:55:02,71.6,10
"361",1743820,440100000000,2011-02-25 10:19:51,103.25,17
"362",1743820,440100000000,2011-04-12 10:45:57,100.13,16
"363",1743820,440100000000,2011-05-02 17:03:20,45.8,7
"364",1743820,440100000000,2011-07-28 11:34:23,63,10
"365",1743820,240200000000,2011-08-27 10:40:22,60.7,10
"366",1743820,440200000000,2011-10-20 10:37:42,38.9,6
"367",1743820,440300000000,2011-11-10 11:01:02,73.8,12
"368",1743820,440200000000,2011-12-30 11:10:45,83.85,13
"369",1743820,440100000000,2012-02-06 10:38:12,63.9,10
"370",1743820,440100000000,2012-02-23 10:49:43,86.25,14
"371",1743820,440100000000,2012-04-25 16:43:10,100.74,16
"372",1743820,440100000000,2012-07-31 17:10:30,0,0
"373",1743820,440200000000,2012-10-30 11:28:29,95,15
"374",1743820,440200000000,2012-12-17 18:08:23,81.9,13
"375",1743820,440400000000,2013-01-29 11:52:39,54.9,9
"376",1743820,440100000000,2013-03-18 14:25:55,119.03,19
"377",1743820,440400000000,2013-05-23 15:35:37,90.1,15
"378",1743835,730600000000,2010-01-05 15:45:56,146.7,21
"379",1743835,730300000000,2010-01-25 17:13:39,46.6,7
"380",1743835,730600000000,2010-02-06 15:01:39,44.65,6
"381",1743835,730300000000,2010-04-22 11:56:25,64.68,9
"382",1743835,730600000000,2010-04-27 10:48:03,18.4,2
"383",1743835,730600000000,2010-06-22 15:24:43,51.2,7
"384",1743835,730200000000,2010-07-23 10:11:35,12.9,1
"385",1743835,730600000000,2010-09-04 11:32:03,28.1,4
"386",1743835,730500000000,2010-11-05 17:51:59,48.13,6
"387",1743835,730300000000,2010-11-13 17:20:05,35.15,5
"388",1743835,730600000000,2010-11-14 16:27:26,33,4
"389",1743835,730600000000,2010-11-14 16:28:31,20.6,2
"390",1743835,730300000000,2010-11-30 14:53:59,57.34,8
"391",1743835,730200000000,2010-12-22 17:12:35,96.77,13
"392",1743835,730600000000,2011-01-06 17:56:28,35.55,5
"393",1743835,730600000000,2011-02-01 15:49:48,26.55,0
"394",1743835,730100000000,2012-04-24 17:08:53,74.6,12
"395",1743835,730600000000,2012-06-10 15:29:35,33.02,5
"396",1743835,730600000000,2012-06-27 15:17:18,52.85,8
"397",1743835,730600000000,2012-07-17 11:52:35,14.67,2
"398",1743835,730600000000,2012-08-06 11:56:51,37.45,6
"399",1743835,730600000000,2012-09-14 17:28:45,22.5,3
"400",1743835,730100000000,2012-10-06 10:41:06,38.29,6
"401",1743835,730100000000,2012-10-20 17:22:04,125.33,20
"402",1743835,730600000000,2012-10-20 17:49:44,27,4
"403",1743835,730300000000,2012-11-01 16:10:57,38.65,6
"404",1743835,730100000000,2012-11-10 14:52:18,34.05,5
"405",1743835,730600000000,2012-11-14 17:40:02,80.8,13
"406",1743835,730200000000,2012-12-09 16:36:43,55.55,9
"407",1743835,730600000000,2012-12-23 17:42:30,48.6,8
"408",1743835,730600000000,2013-01-18 17:47:15,15.75,2
"409",1743835,730600000000,2013-01-30 11:25:25,49.06,8
"410",1743835,730100000000,2013-02-22 16:38:33,43.51,7
"411",1743835,730200000000,2013-04-12 11:12:08,30.4,5
"412",1743835,730200000000,2013-04-27 16:13:38,31.83,5
"413",1743835,730200000000,2013-06-27 18:10:44,37.3,0
"414",1743835,730600000000,2013-08-06 14:20:37,113.08,18
"415",1743835,730600000000,2013-08-06 14:27:26,33.6,5
"416",1743835,730100000000,2013-08-16 11:41:57,38.05,6
"417",1743835,730100000000,2013-10-11 15:35:53,85.3,14
"418",1743835,730600000000,2013-10-30 17:12:26,4.7,0
"419",1743835,730100000000,2013-11-10 16:50:26,13.78,2
"420",1743835,730500000000,2013-11-23 12:08:25,57,9
"421",1743835,730500000000,2013-12-19 11:56:10,20.7,3
"422",1743835,730500000000,2013-12-24 14:59:28,36.62,6
"423",1743851,340100000000,2010-01-05 16:26:32,153.03,22
"424",1743851,340100000000,2010-01-08 14:22:08,35.9,5
"425",1743851,340100000000,2010-01-11 11:48:27,24.8,4
"426",1743851,340100000000,2010-03-05 18:08:08,15.75,2
"427",1743851,340200000000,2010-09-04 11:55:39,50.68,7
"428",1743851,340100000000,2010-10-08 16:50:48,91.5,13
"429",1743851,340300000000,2010-10-12 14:09:55,53.9,7
"430",1743851,340400000000,2011-07-02 18:12:21,79.88,13
"431",1743851,340200000000,2012-05-15 16:30:11,54.4,9
"432",1743851,340100000000,2013-03-07 15:31:32,28.45,4
"433",1743922,370400000000,2010-01-06 11:29:10,71.44,10
"434",1743922,370200000000,2010-01-29 14:35:55,68.95,10
"435",1743922,370200000000,2010-05-12 14:14:30,68.95,9
"436",1743922,370100000000,2010-07-09 16:40:32,80.75,11
"437",1743922,370200000000,2010-09-10 15:07:55,68.95,9
"438",1743922,370200000000,2010-11-10 10:52:43,2,0
"439",1743922,370200000000,2010-11-10 10:53:04,68.95,9
"440",1743922,370200000000,2011-01-19 11:07:31,75.21,10
"441",1743922,370200000000,2011-03-02 11:30:27,69.55,11
"442",1743922,370600000000,2011-05-11 18:03:03,0,0
"443",1743922,370200000000,2011-09-14 18:19:12,20.6,3
"444",1743945,1060100000000,2010-01-06 13:32:32,64.38,9
"445",1743945,1060400000000,2010-04-03 13:19:56,14.39,2
"446",1744004,460500000000,2010-01-06 16:18:26,162.84,23
"447",1744004,460100000000,2010-08-30 14:53:01,197.6,28
"448",1744004,460200000000,2010-12-22 11:41:22,130.1,18
"449",1744004,460100000000,2011-06-06 12:01:07,114.33,19
"450",1744004,460100000000,2011-06-28 14:43:28,27.45,9
"451",1744004,460100000000,2011-07-02 14:56:48,34.9,11
